index,ROUTE,NOMGARE,X,Y
0,A0709,VENDARGUES,"3.992643", 43.654448
1,A0709,MONTPELLIER EST,"3.933571", 43.606631
2,A0709,MONTPELLIER SUD,"3.893626", 43.587197
3,A0709,MONTPELLIER OUEST,"3.875141", 43.573942
4,A0709,ST JEAN DE VEDAS,"3.835266", 43.564813
5,A0009,MONTPELLIER,"3.832152851175532", 43.56321197997596
6,A0009,SETE,"3.683459688948031", 43.48122735717295
7,A0009,AGDE,"3.415880824819294", 43.37686025015687
8,A0075,BEZIERS CABRIALS (SORTIE),"3.2885692228136043", 43.3432572198855
9,A0009,BEZIERS OUEST,"3.2229492234270127", 43.30366439969685
10,A0009,NARBONNE EST,"3.034479741724844", 43.17658759196941
11,A0009,NARBONNE SUD,"2.9938759616687687", 43.16306781794761
12,A0009,SIGEAN,"2.952680247507517", 43.03324744634108
13,A0009,LEUCATE,"2.9698643577185457", 42.93907971549383
14,A0009,PERPIGNAN NORD,"2.895039492321414", 42.78280442962276
15,A0009,PERPIGNAN SUD,"2.8613664204239813", 42.6641690342507
16,A0009,BOULOU (FERMe),"2.8198963845755936", 42.52525130045104
17,A0009,LE PERTHUS-LE BOULOU,"2.8213287503769697", 42.52788008574573
18,A0009,LE BOULOU (OUVERT),"2.8198963845755936", 42.52525130045104
19,A0709,FRONTIERE ESPAGNOLE,"2.865466", 42.46467
20,A0061,LEZIGNAN,"2.741912270324747", 43.168895637589586
21,A0061,CARCASSONNE EST,"2.419899809802155", 43.1946064250563
22,A0061,CARCASSONNE OUEST,"2.3034122460909554", 43.194876489561864
23,A0061,BRAM,"2.097387263014391", 43.23639382092863
24,A0061,CASTELNAUDARY,"1.9450172595926862", 43.28841170379598
25,A0061,VILLEFRANCHE DE LAURAGAIS,"1.6933276863029996", 43.39605815569464
26,A0066,NAILLOUX,"1.6219986708071876", 43.38569743065547
27,A0066,MAZERES,"1.6411430845593658", 43.23520465874421
28,A0066,PAMIER,"1.6157244295701825", 43.15416471824379
29,A0066,PAMIER NORD,"1.617546", 43.147901
30,A0066,PAMIER SUD,"1.626227", 43.134852
31,A0061,MONTGISCARD,"1.584108", 43.460656
32,A0061,PEAGE TOULOUSE SUD/OUEST,"1.499979", 43.545984
33,A0061,LE PALAYS,"1.492243", 43.557954
34,A0061,PEAGE TOULOUSE SUD/EST,"1.499979", 43.545984
35,A0061,MONTAUDRAN,"1.494927", 43.57254
36,A0061,LASBORDES,"1.493604", 43.59388
37,A0061,SOUPETARD,"1.484764", 43.607203
38,A0061,LA ROSERAIE,"1.47906", 43.627612
39,A0062,LA CROIX DAURADE,"1.469016", 43.644788
40,A0062,BORDEROUGE,"1.455103", 43.646845
41,A0062,LES IZARDS,"1.439821", 43.647562
42,A0620,SESQUIERES,"1.421619", 43.64774
